	Record#	CIP# Only	Major Program Name	Degree Level	NCWIT Participant	Institution	What degrees does your institution offer?	School Year	When do students typically declare their major?	Enroll, Female: Avg. ACT Math Score (Enrl F)	Enroll, Female: Asian (Enrl F)	Enroll, Female: Average Age (Enrl F)	Enroll, Female: Average HS GPA (Enrl F)	Enroll, Female: Avg. SAT Math Score (Enrl F)	Enroll, Female: Black/African American (Enrl F)	Enroll, Female: Hispanics of any race (Enrl F)	Enroll, Female: American Indian/Alaska Native (Enrl F)	Enroll, Female: Native Hawaiian/Other Pacific Islander (Enrl F)	Enroll, Female: Two or more races (Enrl F)	Enroll, Female: New Enrollments (Enrl F)	Enroll, Female: Transfer Students (Enrl F)	Enroll, Female: US Citizens (Enrl F)	Enroll, Female: White (Enrl F)	Enroll, Male: Avg. ACT Math Score (Enrl M)	Enroll, Male: Asian (Enrl M)	Enroll, Male: Average Age (Enrl M)	Enroll, Male: Average HS GPA (Enrl M)	Enroll, Male: Avg. SAT Math Score (Enrl M)	Enroll, Male: Black/African American (Enrl M)	Enroll, Male: Hispanics of any race (Enrl M)	Enroll, Male: American Indian/Alaska Native (Enrl M)	Enroll, Male: Native Hawaiian/Other Pacific Islander (Enrl M)	Enroll, Male: Two or more races (Enrl M)	Enroll, Male: New Enrollments (Enrl M)	Enroll, Male: Transfer Students (Enrl M)	Enroll, Male: US Citizens (Enrl M)	Enroll, Male: White (Enrl M)	Freshmen, Female: Asian (Fshm F)	Freshmen, Female: Black/African American (Fshm F)	Freshmen, Female: Cumulative GPA (Fshm F)	Freshmen, Female: Enrolled in DIFFERENT MAJOR (Fshm F)	Freshmen, Female: Enrolled in SAME MAJOR (Fshm F)	Freshmen, Female: Graduated (Fshm F)	Freshmen, Female: Hispanics of any race (Fshm F)	Freshmen, Female: Left Institution (not graduated) (Fshm F)	Freshmen, Female: American Indian/Alaska Native (Fshm F)	Freshmen, Female: Native Hawaiian/Other Pacific Islander (Fshm F)	Freshmen, Female: Two or more races (Fshm F)	Freshmen, Female: Total Declared Majors (Fshm F)	Freshmen, Female: US Citizens (Fshm F)	Freshmen, Female: White (Fshm F)	Freshmen, Male: Asian (Fshm M)	Freshmen, Male: Black/African American (Fshm M)	Freshmen, Male: Cumulative GPA (Fshm M)	Freshmen, Male: Enrolled in DIFFERENT MAJOR (Fshm M)	Freshmen, Male: Enrolled in SAME MAJOR (Fshm M)	Freshmen, Male: Graduated (Fshm M)	Freshmen, Male: Hispanics of any race (Fshm M)	Freshmen, Male: Left Institution (not graduated) (Fshm M)	Freshmen, Male: American Indian/Alaska Native (Fshm M)	Freshmen, Male: Native Hawaiian/Other Pacific Islander (Fshm M)	Freshmen, Male: Two or more races (Fshm M)	Freshmen, Male: Total Declared Majors (Fshm M)	Freshmen, Male: US Citizens (Fshm M)	Freshmen, Male: White (Fshm M)	Sophomores, Female: Asian (Sph. F)	Sophomores, Female: Black/African American (Sph. F)	Sophomores, Female: Cumulative GPA (Sph. F)	Sophomores, Female: Enrolled in DIFFERENT MAJOR (Sph. F)	Sophomores, Female: Enrolled in SAME MAJOR (Sph. F)	Sophomores, Female: Graduated (Sph. F)	Sophomores, Female: Hispanics of any race (Sph. F)	Sophomores, Female: Left Institution (not graduated) (Sph. F)	Sophomores, Female: American Indian/Alaska Native (Sph. F)	Sophomores, Female: Native Hawaiian/Other Pacific Islander (Sph. F)	Sophomores, Female: Two or more races (Sph. F)	Sophomores, Female: Total Declared Majors (Sph. F)	Sophomores, Female: US Citizens (Sph. F)	Sophomores, Female: White (Sph. F)	Sophomores, Male: Asian (Sph. M)	Sophomores, Male: Black/African American (Sph. M)	Sophomores, Male: Cumulative GPA (Sph. M)	Sophomores, Male: Enrolled in DIFFERENT MAJOR (Sph. M)	Sophomores, Male: Enrolled in SAME MAJOR (Sph. M)	Sophomores, Male: Graduated (Sph. M)	Sophomores, Male: Hispanics of any race (Sph. M)	Sophomores, Male: Left Institution (not graduated) (Sph. M)	Sophomores, Male: American Indian/Alaska Native (Sph. M)	Sophomores, Male: Native Hawaiian/Other Pacific Islander (Sph. M)	Sophomores, Male: Two or more races (Sph. M)	Sophomores, Male: Total Declared Majors (Sph. M)	Sophomores, Male: US Citizens (Sph. M)	Sophomores, Male: White (Sph. M)	Juniors, Female: Asian (Jun. F)	Juniors, Female: Black/African American (Jun. F)	Juniors, Female: Cumulative GPA (Jun. F)	Juniors, Female: Enrolled in DIFFERENT MAJOR (Jun. F)	Juniors, Female: Enrolled in SAME MAJOR (Jun. F)	Juniors, Female: Graduated (Jun. F)	Juniors, Female: Hispanics of any race (Jun. F)	Juniors, Female: Left Institution (not graduated) (Jun. F)	Juniors, Female: American Indian/Alaska Native (Jun. F)	Juniors, Female: Native Hawaiian/Other Pacific Islander (Jun. F)	Juniors, Female: Two or more races (Jun. F)	Juniors, Female: Total Declared Majors (Jun. F)	Juniors, Female: US Citizens (Jun. F)	Juniors, Female: White (Jun. F)	Juniors, Male: Asian (Jun. M)	Juniors, Male: Black/African American (Jun. M)	Juniors, Male: Cumulative GPA (Jun. M)	Juniors, Male: Enrolled in DIFFERENT MAJOR (Jun. M)	Juniors, Male: Enrolled in SAME MAJOR (Jun. M)	Juniors, Male: Graduated (Jun. M)	Juniors, Male: Hispanics of any race (Jun. M)	Juniors, Male: Left Institution (not graduated) (Jun. M)	Juniors, Male: American Indian/Alaska Native (Jun. M)	Juniors, Male: Native Hawaiian/Other Pacific Islander (Jun. M)	Juniors, Male: Two or more races (Jun. M)	Juniors, Male: Total Declared Majors (Jun. M)	Juniors, Male: US Citizens (Jun. M)	Juniors, Male: White (Jun. M)	Seniors, Female: Asian (Sen. F)	Seniors, Female: Black/African American (Sen. F)	Seniors, Female: Cumulative GPA (Sen. F)	Seniors, Female: Enrolled in DIFFERENT MAJOR (Sen. F)	Seniors, Female: Enrolled in SAME MAJOR (Sen. F)	Seniors, Female: Graduated (Sen. F)	Seniors, Female: Hispanics of any race (Sen. F)	Seniors, Female: Left Institution (not graduated) (Sen. F)	Seniors, Female: American Indian/Alaska Native (Sen. F)	Seniors, Female: Native Hawaiian/Other Pacific Islander (Sen. F)	Seniors, Female: Two or more races (Sen. F)	Seniors, Female: Total Declared Majors (Sen. F)	Seniors, Female: US Citizens (Sen. F)	Seniors, Female: White (Sen. F)	Seniors, Male: Asian (Sen. M)	Seniors, Male: Black/African American (Sen. M)	Seniors, Male: Cumulative GPA (Sen. M)	Seniors, Male: Enrolled in DIFFERENT MAJOR (Sen. M)	Seniors, Male: Enrolled in SAME MAJOR (Sen. M)	Seniors, Male: Graduated (Sen. M)	Seniors, Male: Hispanics of any race (Sen. M)	Seniors, Male: Left Institution (not graduated) (Sen. M)	Seniors, Male: American Indian/Alaska Native (Sen. M)	Seniors, Male: Native Hawaiian/Other Pacific Islander (Sen. M)	Seniors, Male: Two or more races (Sen. M)	Seniors, Male: Total Declared Majors (Sen. M)	Seniors, Male: US Citizens (Sen. M)	Seniors, Male: White (Sen. M)	5th Yr Seniors, Female: Asian (5 Sen F)	5th Yr Seniors, Female: Black/African American (5 Sen F)	5th Yr Seniors, Female: Cumulative GPA (5 Sen F)	5th Yr Seniors, Female: Enrolled in DIFFERENT MAJOR (5 Sen F)	5th Yr Seniors, Female: Enrolled in SAME MAJOR (5 Sen F)	5th Yr Seniors, Female: Graduated (5 Sen F)	5th Yr Seniors, Female: Hispanics of any race (5 Sen F)	5th Yr Seniors, Female: Left Institution (not graduated) (5 Sen F)	5th Yr Seniors, Female: American Indian/Alaska Native (5 Sen F)	5th Yr Seniors, Female: Native Hawaiian/Other Pacific Islander (5 Sen F)	5th Yr Seniors, Female: Two or more races (5 Sen F)	5th Yr Seniors, Female: Total Declared Majors (5 Sen F)	5th Yr Seniors, Female: US Citizens (5 Sen F)	5th Yr Seniors, Female: White (5 Sen F)	5th Yr Seniors, Male: Asian (5 Sen M)	5th Yr Seniors, Male: Black/African American (5 Sen M)	5th Yr Seniors, Male: Cumulative GPA (5 Sen M)	5th Yr Seniors, Male: Enrolled in DIFFERENT MAJOR (5 Sen M)	5th Yr Seniors, Male: Enrolled in SAME MAJOR (5 Sen M)	5th Yr Seniors, Male: Graduated (5 Sen M)	5th Yr Seniors, Male: Hispanics of any race (5 Sen M)	5th Yr Seniors, Male: Left Institution (not graduated) (5 Sen M)	5th Yr Seniors, Male: American Indian/Alaska Native (5 Sen M)	5th Yr Seniors, Male: Native Hawaiian/Other Pacific Islander (5 Sen M)	5th Yr Seniors, Male: Two or more races (5 Sen M)	5th Yr Seniors, Male: Total Declared Majors (5 Sen M)	5th Yr Seniors, Male: US Citizens (5 Sen M)	5th Yr Seniors, Male: White (5 Sen M)	Totals, Female: Asian (Tot. F)	Totals, Female: Black/African American (Tot. F)	Totals, Female: Cumulative GPA (Tot. F)	Totals, Female: Enrolled in DIFFERENT MAJOR (Tot. F)	Totals, Female: Enrolled in SAME MAJOR (Tot. F)	Totals, Female: Graduated (Tot. F)	Totals, Female: Hispanics of any race (Tot. F)	Totals, Female: Left Institution (not graduated) (Tot. F)	Totals, Female: American Indian/Alaska Native (Tot. F)	Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)	Totals, Female: Two or more races (Tot. F)	Totals, Female: Total Declared Majors (Tot. F)	Totals, Female: US Citizens (Tot. F)	Totals, Female: White (Tot. F)	Totals, Male: Asian (Tot. M)	Totals, Male: Black/African American (Tot. M)	Totals, Male: Cumulative GPA (Tot. M)	Totals, Male: Enrolled in DIFFERENT MAJOR (Tot. M)	Totals, Male: Enrolled in SAME MAJOR (Tot. M)	Totals, Male: Graduated (Tot. M)	Totals, Male: Hispanics of any race (Tot. M)	Totals, Male: Left Institution (not graduated) (Tot. M)	Totals, Male: American Indian/Alaska Native (Tot. M)	Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)	Totals, Male: Two or more races (Tot. M)	Totals, Male: Total Declared Majors (Tot. M)	Totals, Male: US Citizens (Tot. M)	Totals, Male: White (Tot. M)	Minors: Female: Asian (Min. F)	Minors: Female: Black/African American (Min. F)	Minors: Female: Native Hawaiian/Other Pacific Islander (Min. F)	Minors: Female: American Indian/Alaska Native (Min. F)	Minors: Female: Hispanics of any race (Min. F)	Minors: Female: Two or more races (Min. F)	Minors: Female: Total Declared Minors (Min. F)	Minors: Female: White (Min. F)	Minors: Male: Asian (Min. M)	Minors: Male: Black/African American (Min. M)	Minors: Male: Native Hawaiian/Other Pacific Islander (Min. M)	Minors: Male: American Indian/Alaska Native (Min. M)	Minors: Male: Hispanics of any race (Min. M)	Minors: Male: Two or more races (Min. M)	Minors: Male: Total Declared Minors (Min. M)	Minors: Male: White (Min. M)	Nonresident Alien (Acpt. F)	Race/Ethnicity Unknown (Acpt. F)	Nonresident Alien (Acpt. M)	Race/Ethnicity Unknown (Acpt. M)	Nonresident Alien (App. F)	Race/Ethnicity Unknown (App. F)	Nonresident Alien (App. M)	Race/Ethnicity Unknown (App. M)	Nonresident Alien (Enrl F)	Race/Ethnicity Unknown (Enrl F)	Nonresident Alien (Enrl M)	Race/Ethnicity Unknown (Enrl M)	Nonresident Alien (Fshm F)	Race/Ethnicity Unknown (Fshm F)	Nonresident Alien (Fshm M)	Race/Ethnicity Unknown (Fshm M)	Nonresident Alien (Jun. F)	Race/Ethnicity Unknown (Jun. F)	Nonresident Alien (Jun. M)	Race/Ethnicity Unknown (Jun. M)	Nonresident Alien (Min. F)	Race/Ethnicity Unknown (Min. F)	Nonresident Alien (Min. M)	Race/Ethnicity Unknown (Min. M)	Nonresident Alien (5 Sen F)	Race/Ethnicity Unknown (5 Sen F)	Nonresident Alien (Sen. F)	Race/Ethnicity Unknown (Sen. F)	Nonresident Alien (5 Sen M)	Race/Ethnicity Unknown (5 Sen M)	Nonresident Alien (Sen. M)	Race/Ethnicity Unknown (Sen. M)	Nonresident Alien (Sph. F)	Race/Ethnicity Unknown (Sph. F)	Nonresident Alien (Sph. M)	Race/Ethnicity Unknown (Sph. M)	Nonresident Alien (Min. F).1	Race/Ethnicity Unknown (Min. F).1	Nonresident Alien (Min. M).1	Race/Ethnicity Unknown (Min. M).1	Nonresident Alien (Min. F).2	Race/Ethnicity Unknown (Min. F).2	Nonresident Alien (Min. M).2	Race/Ethnicity Unknown (Min. M).2	Nonresident Alien (Tot. F)	Race/Ethnicity Unknown (Tot. F)	Nonresident Alien (Tot. M)	Race/Ethnicity Unknown (Tot. M)
0	1231.0	11.01	CS and/or Eng Multiple Majors (data submitted in aggregation)	Bachelor's	Extension Services, Academic Alliance	456.0	Bachelor's and master's degrees only	2005-2006	End of 2nd Year	27.0	0.0		3.94		0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	2.0	25.0	0.0		3.43		0.0	0.0	0.0	0.0	2.0	13.0	3.0	11.0	11.0																																																																																																																																													0.0	0.0	3.42	5.0	3.0	14.0	0.0	0.0	2.0	0.0	0.0	22.0	22.0	20.0	1.0	1.0	3.43	11.0	21.0	56.0	2.0	0.0	0.0	0.0	12.0	88.0	81.0	72.0																																																																
691	1432.0	11.07	Computer Science	Bachelor's	Extension Services, Academic Alliance	72.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																									2.0	0.0	2.48	1.0	5.0	2.0	0.0	1.0	0.0		0.0	9.0	9.0	7.0	22.0	3.0	2.64	7.0	89.0	32.0	7.0	23.0	1.0		3.0	151.0	141.0	88.0																																																																
2188	1422.0	14.0900	Computer Engineering	Bachelor's	Extension Services, Academic Alliance	72.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																									4.0	5.0	3.15	2.0	8.0	16.0	3.0	0.0	1.0		0.0	26.0	23.0	11.0	41.0	11.0	2.93	14.0	113.0	38.0	25.0	13.0	0.0		6.0	178.0	160.0	76.0																																																																
2467	1442.0	14.1000	Electrical Engineering	Bachelor's	Extension Services, Academic Alliance	72.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																									5.0	3.0	3.14	3.0	21.0	6.0	2.0	2.0			1.0	32.0	22.0	10.0	25.0	8.0	3.11	9.0	88.0	27.0	12.0	6.0			4.0	130.0	116.0	64.0																																																																
44	4190.0	11.01	CS and/or Eng Multiple Majors (data submitted in aggregation)	Bachelor's	Extension Services, Academic Alliance	430.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment		15.0		4.08	653.5	0.0	4.0	1.0	0.0		27.0	5.0		6.0		74.0		3.94	681.0	1.0	15.0	1.0	0.0		154.0	64.0		44.0	12.0	0.0		6.0	14.0	0.0	4.0	2.0	0.0	0.0		22.0		5.0	50.0	1.0		19.0	69.0	0.0	13.0	5.0	1.0	0.0		93.0		24.0	3.0	0.0	3.03	1.0	7.0	0.0	0.0	0.0	1.0	0.0		8.0		4.0	32.0	2.0	2.89	21.0	67.0	0.0	15.0	6.0	0.0	0.0		94.0		36.0	11.0	0.0	2.79	2.0	16.0	0.0	3.0	0.0	0.0	0.0		18.0		2.0	74.0	1.0	3.01	14.0	129.0	1.0	14.0	15.0	0.0	0.0		159.0		51.0	43.0	0.0	2.99	0.0	29.0	22.0	1.0	5.0	0.0	0.0		56.0		7.0	166.0	2.0	3.04	4.0	147.0	155.0	22.0	20.0	1.0	0.0		326.0		100.0																													69.0	0.0	2.93	9.0	66.0	22.0	8.0	7.0	1.0	0.0	0.0	104.0		18.0	322.0	6.0	3.0	58.0	412.0	156.0	64.0	46.0	2.0	0.0	0.0	672.0		211.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		3.0		49.0		12.0		111.0		1.0		19.0		1.0		4.0		2.0		19.0								5.0				35.0		0.0		9.0										8.0		67.0
51	4240.0	11.01	CS and/or Eng Multiple Majors (data submitted in aggregation)	Bachelor's	Extension Services, Academic Alliance	205.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																																				85.0														197.0																																																																		
62	4372.0	11.01	CS and/or Eng Multiple Majors (data submitted in aggregation)	Bachelor's	Extension Services, Academic Alliance	68.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment		21.0	20.8	3.8	636.7	0.0	2.0	0.0	0.0	0.0	34.0	16.0		8.0		74.0	20.3	3.7	667.1	2.0	21.0	1.0	3.0	0.0	182.0	64.0		55.0																																																																																																																																													82.0	0.0	2.93	7.0	67.0	33.0	4.0	12.0	1.0	0.0	0.0	120.0		21.0	400.0	11.0	2.93	66.0	498.0	207.0	66.0	113.0	1.0	7.0	0.0	884.0		251.0																	8.0	8.0	33.0	53.0	17.0	13.0	59.0	76.0	2.0	1.0	12.0	14.0																																	4.0	8.0	49.0	99.0
162	3125.0	11.0103	Information Technology 	Bachelor'ss	Academic Alliance	440.0		2005-2006	End of 2nd Year 																																																																																																																																																																																				18.0														62.0																																																																		
169	3147.0	11.0103	Information Technology 	Bachelor'ss	Academic Alliance	367.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	End of 2nd Year																																																																																																																																																																																				0.0														0.0																																																																		
175	3235.0	11.0103	Information Technology	Bachelor's	Academic Alliance	268.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Other 																																																																																																																																																																																				61.0														191.0																																																																		
183	3251.0	11.0103	Information Technology	Bachelor's	Academic Alliance	47.0		2005-2006	Upon Enrollment 																																																																																																																																																																																				35.0														161.0																																																																		
196	3628.0	11.0103	Information Technology	Bachelor's	Academic Alliance	143.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment 																																																																																																																																																																																				17.0														38.0																																																																		
204	3805.0	11.0103	Information Technology	Bachelor's	Academic Alliance	497.0		2005-2006	End of 1st Year																																																																																																																																																																																				17.0														155.0																																																																		
212	3911.0	11.0103	Information Technology	Bachelor's	Academic Alliance	37.0		2005-2006	Other																																																																																																																																																																																				1.0														23.0																																																																		
285	3706.0	11.0104	Informatics	Bachelor's	Academic Alliance	368.0		2005-2006	End of 1st Year																																																																																																																																																																																				51.0														59.0																																																																		
346	3698.0	11.0199	Computer Science	Bachelor's	Academic Alliance	337.0		2005-2006	End of 1st Year																																																																																																																																																																																				1.0														6.0																																																																		
414	3187.0	11.02	Programming	Associate's	Academic Alliance	233.0		2005-2006	Upon Enrollment																																																																																																																																																																																				8.0														28.0																																																																		
422	3877.0	11.02	Programming	Associate's	Academic Alliance	65.0		2005-2006	Upon Enrollment																																																																																																																																																																																				49.0														85.0																																																																		
437	3038.0	11.04	Information Science 	Bachelor's	Academic Alliance	333.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Other																																																																																																																																																																																				96.0														686.0																																																																		
445	3091.0	11.04	Information Science	Bachelor's	Academic Alliance	435.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	End of 1st Year																																																																																																																																																																																				61.0														592.0																																																																		
455	3343.0	11.04	Information Science	Bachelor's	Academic Alliance	40.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	End of 2nd Year																																																																																																																																																																																				29.0														114.0																																																																		
591	3179.0	11.05	Computer Information Systems	Bachelor's	Academic Alliance	25.0		2005-2006	Upon Enrollent																																																																																																																																																																																				56.0														69.0																																																																		
599	3391.0	11.05	Computer Information Systems	Bachelor's	Academic Alliance	291.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Other																																																																																																																																																																																				30.0														157.0																																																																		
606	3403.0	11.05	Computer Information Systems	Bachelor's	Academic Alliance	232.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	End of 2nd Year																																																																																																																																																																																				50.0														168.0																																																																		
612	3526.0	11.05	Computer Information Systems	Bachelor's	Academic Alliance	394.0		2005-2006	Upon Enrollment																																																																																																																																																																																				72.0														154.0																																																																		
618	3563.0	11.05	Computer Information Systems	Bachelor's	Academic Alliance	82.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																																				149.0														490.0																																																																		
626	3664.0	11.05	Computer Information Systems	Bachelor's	Academic Alliance	78.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																																				19.0														137.0																																																																		
633	3720.0	11.05	Computer Information Systems	Bachelor's	Academic Alliance	368.0		2005-2006	End of 1st Year																																																																																																																																																																																				17.0														34.0																																																																		
639	3986.0	11.05	Computer Information Systems	Bachelor's	Academic Alliance	381.0		2005-2006	End of 1st Year																																																																																																																																																																																				3.0														4.0																																																																		
1141	3035.0	11.07	Computer Science	Bachelor's	Academic Alliance	333.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																																				15.0														167.0																																																																		
1144	3046.0	11.07	Computer Science	Bachelor's	Academic Alliance	51.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																																				2.0														36.0																																																																		
1150	3052.0	11.07	Computer Science	Bachelor's	Academic Alliance, Academic Alliance	319.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																																				31.0														491.0																																																																		
1156	3064.0	11.07	Computer Science	Bachelor's	Academic Alliance	307.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																																				33.0														405.0																																																																		
1175	3137.0	11.07	Computer Science	Bachelor'ss	Academic Alliance	367.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	End of 2nd Year																																																																																																																																																																																				10.0														47.0																																																																		
1181	3158.0	11.07	Computer Science	Bachelor'ss	Academic Alliance	211.0		2005-2006	End of 1st Year 																																																																																																																																																																																				17.0														44.0																																																																		
1187	3171.0	11.07	Computer Science	Bachelor's	Academic Alliance	25.0		2005-2006	Upon Enrollent																																																																																																																																																																																				25.0														70.0																																																																		
1195	3227.0	11.07	Computer Science	Bachelor's	Academic Alliance	60.0		2005-2006	End of 2nd Year																																																																																																																																																																																				16.0														63.0																																																																		
1203	3243.0	11.07	Computer Science	Bachelor's	Academic Alliance	47.0		2005-2006	Upon Enrollment																																																																																																																																																																																				26.0														218.0																																																																		
1211	3259.0	11.07	Computer Science	Bachelor's	Academic Alliance	47.0		2005-2006	Upon Enrollment																																																																																																																																																																																				5.0														84.0																																																																		
1218	3269.0	11.07	Computer Science	Bachelor's	Academic Alliance	244.0		2005-2006	Upon Enrollment																																																																																																																																																																																				20.0														89.0																																																																		
1226	3277.0	11.07	Computer Science	Bachelor's	Academic Alliance	4.0		2005-2006	Upon Enrollment																																																																																																																																																																																				2.0														6.0																																																																		
1234	3287.0	11.07	Computer Science	Bachelor's	Academic Alliance	91.0		2005-2006	End of 1st Year 																																																																																																																																																																																				32.0														0.0																																																																		
1242	3295.0	11.07	Computer Science	Bachelor's	Academic Alliance	258.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	End of 2nd Year																																																																																																																																																																																				32.0														183.0																																																																		
1253	3335.0	11.07	Computer Science	Bachelor's	Academic Alliance	40.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	End of 2nd Year																																																																																																																																																																																				29.0														195.0																																																																		
1264	3398.0	11.07	Computer Science	Bachelor's	Academic Alliance	232.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	End of 2nd Year																																																																																																																																																																																				34.0														207.0																																																																		
1269	3408.0	11.07	Computer Science	Bachelor's	Academic Alliance	445.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	End of 1st Year																																																																																																																																																																																				7.0														56.0																																																																		
1277	3424.0	11.07	Computer Science	Bachelor's	Academic Alliance	133.0		2005-2006	End of 2nd Year																																																																																																																																																																																				4.0														17.0																																																																		
1285	3455.0	11.07	Computer Science	Bachelor's	Extension Services, Academic Alliance	88.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																																				19.0														120.0																																																																		
1291	3472.0	11.07	Computer Science	Bachelor's	Academic Alliance	121.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	End of 1st Year																																																																																																																																																																																				40.0														318.0																																																																		
1299	3501.0	11.07	Computer Science	Bachelor's	Extension Services, Academic Alliance	361.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																																				58.0														583.0																																																																		
1303	3541.0	11.07	Computer Science	Bachelor's	Academic Alliance	490.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																																				19.0														166.0																																																																		
1309	3547.0	11.07	Computer Science	Bachelor's	Academic Alliance	331.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	End of 1st Year																																																																																																																																																																																				14.0														31.0																																																																		
1317	3555.0	11.07	Computer Science	Bachelor's	Extension Services, Academic Alliance	82.0	Bachelor's, master's, and Ph.D. degrees	2005-2006	Upon Enrollment																																																																																																																																																																																				81.0														662.0																																																																		
