ID,Major,Year,M_GPA,F_GPA,COMBINED_GPA,M_EN,F_EN,C_EN
1231,CS and/or Eng Multiple Majors (data submitted in aggregation),2005,3.43,3.42,3.4280000000000004,88,22,110
1232,CS and/or Eng Multiple Majors (data submitted in aggregation),2006,3.43,3.42,3.4277319587628865,75,22,97
1233,CS and/or Eng Multiple Majors (data submitted in aggregation),2007,3.43,3.43,3.43,55,16,71
1236,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,3.44,3.65,3.488461538461539,30,9,39
1237,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,3.41,3.4,3.407435897435897,29,10,39
4181,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,3.18,3.27,3.195780821917808,1806,384,2190
4182,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,3.1,3.21,3.1189635710620833,1613,336,1949
4183,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,3.07,3.18,3.089661835748792,1360,296,1656
4184,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,3.05,3.13,3.064285714285714,989,215,1204
4185,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,3.01,3.03,3.0133679833679836,800,162,962
4186,CS and/or Eng Multiple Majors (data submitted in aggregation),2009,2.96,3.09,2.9824650571791613,651,136,787
4187,CS and/or Eng Multiple Majors (data submitted in aggregation),2008,2.94,3.03,2.953401253918495,543,95,638
4188,CS and/or Eng Multiple Majors (data submitted in aggregation),2007,2.98,2.98,2.98,521,81,602
4189,CS and/or Eng Multiple Majors (data submitted in aggregation),2006,2.93,2.99,2.93859649122807,586,98,684
4190,CS and/or Eng Multiple Majors (data submitted in aggregation),2005,3.0,2.93,2.990618556701031,672,104,776
4191,CS and/or Eng Multiple Majors (data submitted in aggregation),2004,3.0,3.08,3.011332633788038,818,135,953
4192,CS and/or Eng Multiple Majors (data submitted in aggregation),2003,3.03,3.03,3.03,903,184,1087
4242,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,3.13,3.28,3.1821739130434783,15,8,23
4243,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,3.27,3.31,3.2823076923076924,36,16,52
4267,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,2.85,2.72,2.8291796875,215,41,256
4268,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,2.81,2.69,2.788938775510204,202,43,245
4269,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,2.71,2.8,2.728,200,50,250
4270,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,2.71,2.66,2.7003141361256544,154,37,191
4271,CS and/or Eng Multiple Majors (data submitted in aggregation),2009,2.88,2.73,2.8532758620689656,143,31,174
4370,CS and/or Eng Multiple Majors (data submitted in aggregation),2003,2.92,2.96,2.9265810397553516,1366,269,1635
4371,CS and/or Eng Multiple Majors (data submitted in aggregation),2004,2.94,2.93,2.938671222475323,1142,175,1317
4372,CS and/or Eng Multiple Majors (data submitted in aggregation),2005,2.93,2.93,2.93,884,120,1004
4373,CS and/or Eng Multiple Majors (data submitted in aggregation),2006,2.91,2.95,2.9146063454759106,753,98,851
4374,CS and/or Eng Multiple Majors (data submitted in aggregation),2007,2.99,2.96,2.9860921052631584,661,99,760
4375,CS and/or Eng Multiple Majors (data submitted in aggregation),2008,3.04,2.97,3.0293080939947776,649,117,766
4376,CS and/or Eng Multiple Majors (data submitted in aggregation),2009,3.02,3.03,3.0217076326002585,641,132,773
4377,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,3.0,3.01,3.001888198757764,653,152,805
4378,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,3.08,3.03,3.069936775553214,758,191,949
4379,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,3.06,3.03,3.053304721030043,905,260,1165
4380,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,3.03,3.03,3.0299999999999994,1260,386,1646
4381,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,3.06,3.07,3.062295399515738,1591,474,2065
4382,CS and/or Eng Multiple Majors (data submitted in aggregation),2015,3.12,3.18,3.134559585492228,1754,562,2316
4386,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,3.05,3.27,3.070268006700167,542,55,597
4598,CS and/or Eng Multiple Majors (data submitted in aggregation),2009,2.87,3.08,2.8964766839378235,506,73,579
4599,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,2.89,3.12,2.917138643067847,598,80,678
4600,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,2.9,2.89,2.8988303341902313,687,91,778
4601,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,2.95,3.08,2.9650235849056608,750,98,848
4602,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,2.81,3.03,2.8356196581196578,827,109,936
4603,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,2.89,3.1,2.91408,664,86,750
4681,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,2.9,2.8,2.8795918367346935,78,20,98
4881,CS and/or Eng Multiple Majors (data submitted in aggregation),2015,2.94,3.08,2.9582890173410403,752,113,865
4903,CS and/or Eng Multiple Majors (data submitted in aggregation),2016,3.49,3.43,3.479545793000745,1109,234,1343
4943,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,2.87,2.89,2.873286384976526,178,35,213
4944,CS and/or Eng Multiple Majors (data submitted in aggregation),2015,2.93,2.64,2.878174904942966,216,47,263
5271,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,2.29,2.58,2.3922435897435896,101,55,156
5272,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,2.37,2.36,2.36671875,129,63,192
5273,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,2.49,2.47,2.4840625000000003,135,57,192
5274,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,2.45,2.49,2.460146341463415,153,52,205
5275,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,2.52,2.56,2.529655172413793,154,49,203
5276,CS and/or Eng Multiple Majors (data submitted in aggregation),2015,2.53,2.68,2.572142857142857,151,59,210
1255,Information Technology,2009,2.87,2.88,2.8717336683417085,658,138,796
1256,Information Technology,2010,2.9,3.01,2.9209049773755655,716,168,884
1257,Information Technology,2011,2.94,3.02,2.9550511247443763,794,184,978
1258,Information Technology,2012,2.71,2.75,2.71734375,836,188,1024
1392,Information Technology,2004,3.07,3.14,3.077760532150776,802,100,902
1393,Information Technology,2005,2.01,3.04,2.1169615384615383,699,81,780
1394,Information Technology,2006,3.02,3.04,3.0220782726045887,664,77,741
1395,Information Technology,2007,2.95,3.01,2.9566492829204694,682,85,767
1700,Information Technology,2008,2.93,2.67,2.9025555555555558,161,19,180
1701,Information Technology,2009,2.98,2.89,2.9734677419354836,230,18,248
1702,Information Technology,2010,2.88,3.19,2.9097864768683275,254,27,281
1703,Information Technology,2011,2.88,2.85,2.8774015748031494,348,33,381
1704,Information Technology,2012,2.9,3.04,2.914909090909091,344,41,385
1705,Information Technology,2013,2.88,3.21,2.9184085510688833,372,49,421
1979,Information Technology,2013,2.99,2.38,2.931904761904762,38,4,42
1980,Information Technology,2013,2.59,2.79,2.6376190476190478,32,10,42
2010,Information Technology,2013,2.7,2.85,2.7290830945558744,844,203,1047
4170,Information Technology,2014,2.88,3.07,2.9078666666666666,384,66,450
4228,Information Technology,2010,2.15,3.13,2.2531578947368422,85,10,95
4229,Information Technology,2011,2.9,1.75,2.692168674698795,68,15,83
4230,Information Technology,2012,2.63,3.07,2.677142857142857,75,9,84
4231,Information Technology,2013,2.3,2.5,2.3285714285714287,60,10,70
4670,Information Technology,2015,2.95,3.11,2.9752477064220186,459,86,545
4671,Information Technology,2014,2.96,3.15,2.9881330472103,397,69,466
4672,Information Technology,2013,2.92,3.06,2.938064516129032,351,52,403
4674,Information Technology,2012,2.92,2.98,2.926814404432133,320,41,361
4676,Information Technology,2011,2.95,3.07,2.961178082191781,331,34,365
4677,Information Technology,2010,2.9,3.21,2.925898734177215,362,33,395
4678,Information Technology,2009,2.9,3.27,2.9324711316397227,395,38,433
4679,Information Technology,2008,2.88,3.1,2.8936283185840703,424,28,452
5218,Information Technology,2014,2.2,3.04,2.3251063829787233,80,14,94
5219,Information Technology,2015,2.21,2.58,2.268267716535433,107,20,127
5281,Information Technology,2016,3.02,3.24,3.058228279386712,485,102,587
5297,Information Technology,2011,2.79,2.93,2.809111111111111,272,43,315
5298,Information Technology,2012,2.7,2.86,2.7243478260869565,273,49,322
5299,Information Technology,2013,2.75,2.99,2.791359223300971,341,71,412
