year,major,institution,m_attrition,f_attrition,t_attrition,participant,degrees,f_en,m_en,c_en
2006,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.0,0.0,0.0,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,22,88,110
2007,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.0,0.0,0.0,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,22,75,97
2008,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.0,0.0,0.0,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,16,55,71
2009,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.05555555555555555,0.0,0.034482758620689655,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,11,18,29
2010,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.034482758620689655,0.0,0.022727272727272728,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,15,29,44
2011,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.06666666666666667,0.2222222222222222,0.10256410256410256,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,9,30,39
2006,CS and/or Eng Multiple Majors (data submitted in aggregation),128,0.125,0.0,0.11538461538461539,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",34,408,442
2007,CS and/or Eng Multiple Majors (data submitted in aggregation),128,0.10098522167487685,0.03571428571428571,0.0967741935483871,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",28,406,434
2008,CS and/or Eng Multiple Majors (data submitted in aggregation),128,0.18032786885245902,0.043478260869565216,0.17223650385604114,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",23,366,389
2009,CS and/or Eng Multiple Majors (data submitted in aggregation),128,0.21657754010695188,0.15789473684210525,0.21374045801526717,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",19,374,393
2011,CS and/or Eng Multiple Majors (data submitted in aggregation),88,0.002098635886673662,0.0,0.00186219739292365,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",121,953,1074
2012,CS and/or Eng Multiple Majors (data submitted in aggregation),88,0.00099601593625498,0.0,0.000881057268722467,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",131,1004,1135
2013,CS and/or Eng Multiple Majors (data submitted in aggregation),88,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",144,1058,1202
2014,CS and/or Eng Multiple Majors (data submitted in aggregation),88,0.0008944543828264759,0.0,0.0007849293563579278,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",156,1118,1274
2013,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.07279411764705883,0.04054054054054054,0.06702898550724638,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",296,1360,1656
2012,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.07482305358948432,0.07441860465116279,0.07475083056478406,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",215,989,1204
2011,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.0825,0.08024691358024691,0.08212058212058213,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",162,800,962
2010,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.08602150537634409,0.03676470588235294,0.07750952986022872,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",136,651,787
2009,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.07734806629834254,0.05263157894736842,0.07366771159874608,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",95,543,638
2008,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.08061420345489444,0.024691358024691357,0.07308970099667775,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",81,521,602
